Time,StepCount,zWheel [21 real output]
0,0,0.5
0.001,1,0.500049
0.002,2,0.500163
0.003,3,0.500276
0.004,4,0.500385
0.005,5,0.50049
0.006,6,0.50059
0.007,7,0.500685
0.008,8,0.500775
0.009,9,0.500859
0.01,10,0.500938
0.011,11,0.50101
0.012,12,0.501077
0.013,13,0.501138
0.014,14,0.501192
0.015,15,0.50124
0.016,16,0.501281
0.017,17,0.501316
0.018,18,0.501345
0.019,19,0.501368
0.02,20,0.501384
0.021,21,0.501394
0.022,22,0.501398
0.023,23,0.501396
0.024,24,0.501388
0.025,25,0.501375
0.026,26,0.501356
0.027,27,0.501332
0.028,28,0.501303
0.029,29,0.50127
0.03,30,0.501232
0.031,31,0.50119
0.032,32,0.501144
0.033,33,0.501094
0.034,34,0.501042
0.035,35,0.500986
0.036,36,0.500928
0.037,37,0.500867
0.038,38,0.500804
0.039,39,0.50074
0.04,40,0.500674
0.041,41,0.500607
0.042,42,0.500539
0.043,43,0.500471
0.044,44,0.500403
0.045,45,0.500334
0.046,46,0.500267
0.047,47,0.500199
0.048,48,0.500133
0.049,49,0.500068
0.05,50,0.500005
0.051,51,0.499943
0.052,52,0.499883
0.053,53,0.499825
0.054,54,0.499769
0.055,55,0.499716
0.056,56,0.499665
0.057,57,0.499617
0.058,58,0.499572
0.059,59,0.49953
0.06,60,0.499492
0.061,61,0.499456
0.062,62,0.499424
0.063,63,0.499394
0.064,64,0.499369
0.065,65,0.499346
0.066,66,0.499327
0.067,67,0.499312
0.068,68,0.4993
0.069,69,0.499291
0.07,70,0.499285
0.071,71,0.499283
0.072,72,0.499283
0.073,73,0.499287
0.074,74,0.499294
0.075,75,0.499303
0.076,76,0.499316
0.077,77,0.49933
0.078,78,0.499348
0.079,79,0.499368
0.08,80,0.49939
0.081,81,0.499414
0.082,82,0.49944
0.083,83,0.499467
0.084,84,0.499497
0.085,85,0.499528
0.086,86,0.49956
0.087,87,0.499593
0.088,88,0.499627
0.089,89,0.499661
0.09,90,0.499697
0.091,91,0.499733
0.092,92,0.499769
0.093,93,0.499805
0.094,94,0.499841
0.095,95,0.499877
0.096,96,0.499913
0.097,97,0.499948
0.098,98,0.499982
0.099,99,0.500016
0.1,100,0.500049
0.101,101,0.500081
0.102,102,0.500112
0.103,103,0.500141
0.104,104,0.50017
0.105,105,0.500197
0.106,106,0.500222
0.107,107,0.500246
0.108,108,0.500269
0.109,109,0.500289
0.11,110,0.500308
0.111,111,0.500326
0.112,112,0.500341
0.113,113,0.500355
0.114,114,0.500367
0.115,115,0.500378
0.116,116,0.500386
0.117,117,0.500393
0.118,118,0.500398
0.119,119,0.500401
0.12,120,0.500403
0.121,121,0.500402
0.122,122,0.500401
0.123,123,0.500397
0.124,124,0.500393
0.125,125,0.500386
0.126,126,0.500378
0.127,127,0.500369
0.128,128,0.500359
0.129,129,0.500348
0.13,130,0.500335
0.131,131,0.500321
0.132,132,0.500307
0.133,133,0.500291
0.134,134,0.500275
0.135,135,0.500258
0.136,136,0.500241
0.137,137,0.500223
0.138,138,0.500205
0.139,139,0.500186
0.14,140,0.500167
0.141,141,0.500148
0.142,142,0.500129
0.143,143,0.50011
0.144,144,0.500091
