time, stepNumber, zChassis [REAL OUTPUT]
0.000000, 0, 1.000000
0.010000, 1, 1.000000
0.020000, 2, 1.000002
0.030000, 3, 1.000006
0.040000, 4, 1.000011
0.050000, 5, 1.000013
0.060000, 6, 1.000010
0.070000, 7, 1.000004
0.080000, 8, 0.999997
0.090000, 9, 0.999991
0.100000, 10, 0.999989
0.110000, 11, 0.999989
0.120000, 12, 0.999990
0.130000, 13, 0.999989
0.140000, 14, 0.999986
0.150000, 15, 0.999980
0.160000, 16, 0.999973
0.170000, 17, 0.999967
0.180000, 18, 0.999962
0.190000, 19, 0.999960
0.200000, 20, 0.999959
0.210000, 21, 0.999957
0.220000, 22, 0.999953
0.230000, 23, 0.999948
0.240000, 24, 0.999941
0.250000, 25, 0.999935
0.260000, 26, 0.999930
0.270000, 27, 0.999927
0.280000, 28, 0.999925
0.290000, 29, 0.999923
0.300000, 30, 0.999919
0.310000, 31, 0.999915
0.320000, 32, 0.999910
0.330000, 33, 0.999905
0.340000, 34, 0.999900
0.350000, 35, 0.999897
0.360000, 36, 0.999895
0.370000, 37, 0.999893
0.380000, 38, 0.999891
0.390000, 39, 0.999888
0.400000, 40, 0.999884
0.410000, 41, 0.999881
0.420000, 42, 0.999878
0.430000, 43, 0.999876
0.440000, 44, 0.999875
0.450000, 45, 0.999874
0.460000, 46, 0.999873
0.470000, 47, 0.999872
0.480000, 48, 0.999870
0.490000, 49, 0.999868
0.500000, 50, 0.999867
0.510000, 51, 0.999866
0.520000, 52, 0.999866
0.530000, 53, 0.999867
0.540000, 54, 0.999867
0.550000, 55, 0.999867
0.560000, 56, 0.999867
0.570000, 57, 0.999867
0.580000, 58, 0.999867
0.590000, 59, 0.999868
0.600000, 60, 0.999869
0.610000, 61, 0.999871
0.620000, 62, 0.999872
0.630000, 63, 0.999874
0.640000, 64, 0.999875
0.650000, 65, 0.999877
0.660000, 66, 0.999878
0.670000, 67, 0.999880
0.680000, 68, 0.999882
0.690000, 69, 0.999884
0.700000, 70, 0.999886
0.710000, 71, 0.999888
0.720000, 72, 0.999891
0.730000, 73, 0.999893
0.740000, 74, 0.999895
0.750000, 75, 0.999897
0.760000, 76, 0.999899
0.770000, 77, 0.999902
0.780000, 78, 0.999904
0.790000, 79, 0.999907
0.800000, 80, 0.999909
0.810000, 81, 0.999911
0.820000, 82, 0.999913
0.830000, 83, 0.999916
0.840000, 84, 0.999918
0.850000, 85, 0.999920
0.860000, 86, 0.999922
0.870000, 87, 0.999925
0.880000, 88, 0.999927
0.890000, 89, 0.999929
0.900000, 90, 0.999930
0.910000, 91, 0.999932
0.920000, 92, 0.999934
0.930000, 93, 0.999935
0.940000, 94, 0.999937
0.950000, 95, 0.999938
0.960000, 96, 0.999940
0.970000, 97, 0.999941
0.980000, 98, 0.999942
0.990000, 99, 0.999943
1.000000, 100, 0.999944
1.010000, 101, 0.999945
1.020000, 102, 1.000083
1.030000, 103, 1.000834
1.040000, 104, 1.002834
1.050000, 105, 1.006423
1.060000, 106, 1.011390
1.070000, 107, 1.017069
1.080000, 108, 1.022686
1.090000, 109, 1.027751
1.100000, 110, 1.032273
1.110000, 111, 1.036689
1.120000, 112, 1.041582
1.130000, 113, 1.047342
1.140000, 114, 1.053960
1.150000, 115, 1.061059
1.160000, 116, 1.068111
1.170000, 117, 1.074721
1.180000, 118, 1.080811
1.190000, 119, 1.086623
1.200000, 120, 1.092546
1.210000, 121, 1.098885
1.220000, 122, 1.105696
1.230000, 123, 1.112763
1.240000, 124, 1.119729
1.250000, 125, 1.126284
1.260000, 126, 1.132320
1.270000, 127, 1.137955
1.280000, 128, 1.143443
1.290000, 129, 1.149016
1.300000, 130, 1.154754
1.310000, 131, 1.160547
1.320000, 132, 1.166163
1.330000, 133, 1.171372
1.340000, 134, 1.176066
1.350000, 135, 1.180296
1.360000, 136, 1.184225
1.370000, 137, 1.188026
1.380000, 138, 1.191784
1.390000, 139, 1.195457
1.400000, 140, 1.198901
1.410000, 141, 1.201958
1.420000, 142, 1.204535
1.430000, 143, 1.206647
1.440000, 144, 1.208400
1.450000, 145, 1.209923
1.460000, 146, 1.211298
1.470000, 147, 1.212521
1.480000, 148, 1.213512
1.490000, 149, 1.214169
1.500000, 150, 1.214420
1.510000, 151, 1.214267
1.520000, 152, 1.213777
1.530000, 153, 1.213047
1.540000, 154, 1.212151
1.550000, 155, 1.211108
1.560000, 156, 1.209881
1.570000, 157, 1.208406
1.580000, 158, 1.206634
1.590000, 159, 1.204563
1.600000, 160, 1.202237
1.610000, 161, 1.199727
1.620000, 162, 1.197098
1.630000, 163, 1.194377
1.640000, 164, 1.191555
1.650000, 165, 1.188596
1.660000, 166, 1.185469
1.670000, 167, 1.182170
1.680000, 168, 1.178728
1.690000, 169, 1.175197
1.700000, 170, 1.171626
1.710000, 171, 1.168048
1.720000, 172, 1.164466
1.730000, 173, 1.160862
1.740000, 174, 1.157216
1.750000, 175, 1.153526
1.760000, 176, 1.149809
1.770000, 177, 1.146102
1.780000, 178, 1.142444
1.790000, 179, 1.138864
1.800000, 180, 1.135369
1.810000, 181, 1.131952
1.820000, 182, 1.128600
1.830000, 183, 1.125308
1.840000, 184, 1.122086
1.850000, 185, 1.118958
1.860000, 186, 1.115951
1.870000, 187, 1.113086
1.880000, 188, 1.110372
1.890000, 189, 1.107803
1.900000, 190, 1.105371
1.910000, 191, 1.103069
1.920000, 192, 1.100899
1.930000, 193, 1.098874
1.940000, 194, 1.097011
1.950000, 195, 1.095322
1.960000, 196, 1.093814
1.970000, 197, 1.092480
1.980000, 198, 1.091314
1.990000, 199, 1.090305
2.000000, 200, 1.089450
2.010000, 201, 1.088754
2.020000, 202, 1.088223
2.030000, 203, 1.087864
2.040000, 204, 1.087677
2.050000, 205, 1.087658
2.060000, 206, 1.087795
2.070000, 207, 1.088080
2.080000, 208, 1.088503
2.090000, 209, 1.089063
2.100000, 210, 1.089759
2.110000, 211, 1.090593
2.120000, 212, 1.091562
2.130000, 213, 1.092659
2.140000, 214, 1.093873
2.150000, 215, 1.095192
2.160000, 216, 1.096608
2.170000, 217, 1.098114
2.180000, 218, 1.099706
2.190000, 219, 1.101380
2.200000, 220, 1.103132
2.210000, 221, 1.104955
2.220000, 222, 1.106838
2.230000, 223, 1.108770
2.240000, 224, 1.110741
2.250000, 225, 1.112743
2.260000, 226, 1.114772
2.270000, 227, 1.116821
2.280000, 228, 1.118886
2.290000, 229, 1.120960
2.300000, 230, 1.123034
2.310000, 231, 1.125098
2.320000, 232, 1.127145
2.330000, 233, 1.129167
2.340000, 234, 1.131159
2.350000, 235, 1.133115
2.360000, 236, 1.135033
2.370000, 237, 1.136906
2.380000, 238, 1.138730
2.390000, 239, 1.140496
2.400000, 240, 1.142199
2.410000, 241, 1.143834
2.420000, 242, 1.145396
2.430000, 243, 1.146885
2.440000, 244, 1.148296
2.450000, 245, 1.149628
2.460000, 246, 1.150877
2.470000, 247, 1.152039
2.480000, 248, 1.153113
2.490000, 249, 1.154095
2.500000, 250, 1.154984
2.510000, 251, 1.155780
2.520000, 252, 1.156482
2.530000, 253, 1.157092
2.540000, 254, 1.157608
2.550000, 255, 1.158030
2.560000, 256, 1.158358
2.570000, 257, 1.158593
2.580000, 258, 1.158736
2.590000, 259, 1.158788
2.600000, 260, 1.158752
2.610000, 261, 1.158631
2.620000, 262, 1.158426
2.630000, 263, 1.158139
2.640000, 264, 1.157773
2.650000, 265, 1.157331
2.660000, 266, 1.156815
2.670000, 267, 1.156229
2.680000, 268, 1.155577
2.690000, 269, 1.154862
2.700000, 270, 1.154089
2.710000, 271, 1.153261
2.720000, 272, 1.152383
2.730000, 273, 1.151457
2.740000, 274, 1.150487
2.750000, 275, 1.149479
2.760000, 276, 1.148436
2.770000, 277, 1.147364
2.780000, 278, 1.146265
2.790000, 279, 1.145146
2.800000, 280, 1.144009
2.810000, 281, 1.142859
2.820000, 282, 1.141700
2.830000, 283, 1.140536
2.840000, 284, 1.139372
2.850000, 285, 1.138210
2.860000, 286, 1.137057
2.870000, 287, 1.135914
2.880000, 288, 1.134786
2.890000, 289, 1.133676
2.900000, 290, 1.132588
