time, stepNumber, zWheel [REAL OUTPUT]
0.00000000, 0, 0.5
0.00100000, 1, 0.500016329093776
0.00200000, 2, 0.5000326020610716
0.00300000, 3, 0.5000486154477578
0.00400000, 4, 0.5000640337363401
0.00500000, 5, 0.5000787997848928
0.00600000, 6, 0.5000928669113246
0.00700000, 7, 0.5001061938637371
0.00800000, 8, 0.5001187436143155
0.00900000, 9, 0.5001304833538557
0.01000000, 10, 0.500141384514995
0.01100000, 11, 0.5001514227832838
0.01200000, 12, 0.5001605780904662
0.01300000, 13, 0.5001688345901334
0.01400000, 14, 0.5001761806162692
0.01500000, 15, 0.5001826086252971
0.01600000, 16, 0.5001881151222932
0.01700000, 17, 0.5001927005720828
0.01800000, 18, 0.5001963692959772
0.01900000, 19, 0.5001991293549557
0.02000000, 20, 0.5002009924201266
0.02100000, 21, 0.5002019736313394
0.02200000, 22, 0.5002020914448443
0.02300000, 23, 0.5002013674709187
0.02400000, 24, 0.5001998263024006
0.02500000, 25, 0.5001974953350803
0.02600000, 26, 0.5001944045809145
0.02700000, 27, 0.5001905864750297
0.02800000, 28, 0.5001860756774861
0.02900000, 29, 0.5001809088707669
0.03000000, 30, 0.5001751245539544
0.03100000, 31, 0.5001687628345413
0.03200000, 32, 0.5001618652188129
0.03300000, 33, 0.5001544744017168
0.03400000, 34, 0.5001466340571158
0.03500000, 35, 0.5001383886292954
0.03600000, 36, 0.5001297831265696
0.03700000, 37, 0.5001208629177982
0.03800000, 38, 0.5001116735325957
0.03900000, 39, 0.5001022604659761
0.04000000, 40, 0.5000926689881424
0.04100000, 41, 0.500082943960086
0.04200000, 42, 0.5000731296556228
0.04300000, 43, 0.5000632695904494
0.04400000, 44, 0.5000534063587572
0.04500000, 45, 0.5000435814778967
0.04600000, 46, 0.5000338352415408
0.04700000, 47, 0.5000242065817426
0.04800000, 48, 0.500014732940244
0.04900000, 49, 0.5000054501493354
0.05000000, 50, 0.49999639232252435
0.05100000, 51, 0.4999875917552211
0.05200000, 52, 0.49997907883560166
0.05300000, 53, 0.49997088196576267
0.05400000, 54, 0.4999630274932358
0.05500000, 55, 0.4999555396528845
0.05600000, 56, 0.49994844051916093
0.05700000, 57, 0.4999417499686597
0.05800000, 58, 0.4999354856528607
0.05900000, 59, 0.4999296629809164
0.06000000, 60, 0.4999242951122977
0.06100000, 61, 0.4999193929590778
0.06200000, 62, 0.4999149651975974
0.06300000, 63, 0.49991101828922274
0.06400000, 64, 0.49990755650987573
0.06500000, 65, 0.4999045819879888
0.06600000, 66, 0.499902094750509
0.06700000, 67, 0.4999000927765516
0.06800000, 68, 0.4998985720582834
0.06900000, 69, 0.4998975266685939
0.07000000, 70, 0.4998969488350967
0.07100000, 71, 0.49989682901998905
0.07200000, 72, 0.4998971560052829
0.07300000, 73, 0.49989791698291336
0.07400000, 74, 0.4998990976492205
0.07500000, 75, 0.4999006823032959
0.07600000, 76, 0.49990265394868183
0.07700000, 77, 0.4999049943979108
0.07800000, 78, 0.4999076843793727
0.07900000, 79, 0.49991070364600176
0.08000000, 80, 0.49991403108528004
0.08100000, 81, 0.4999176448300619
0.08200000, 82, 0.4999215223697325
0.08300000, 83, 0.49992564066122525
0.08400000, 84, 0.4999299762394356
0.08500000, 85, 0.4999345053265823
0.08600000, 86, 0.4999392039400843
0.08700000, 87, 0.49994404799853776
0.08800000, 88, 0.49994901342539666
0.08900000, 89, 0.49995407624998056
0.09000000, 90, 0.49995921270545324
0.09100000, 91, 0.49996439932343845
0.09200000, 92, 0.49996961302496123
0.09300000, 93, 0.4999748312074269
0.09400000, 94, 0.4999800318273736
0.09500000, 95, 0.49998519347875925
0.09600000, 96, 0.49999029546656804
0.09700000, 97, 0.499995317875547
0.09800000, 98, 0.500000241633909
0.09900000, 99, 0.5000050485718623
0.10000000, 100, 0.5000097214748552
0.10100000, 101, 0.5000142441314444
0.10200000, 102, 0.5000186013757264
0.10300000, 103, 0.5000227791242916
0.10400000, 104, 0.5000267644076853
0.10500000, 105, 0.5000305453963854
0.10600000, 106, 0.5000341114213266
0.10700000, 107, 0.5000374529890264
0.10800000, 108, 0.5000405617913846
0.10900000, 109, 0.5000434307102544
0.11000000, 110, 0.5000460538168972
0.11100000, 111, 0.5000484263664562
0.11200000, 112, 0.5000505447875983
0.11300000, 113, 0.5000524066674914
0.11400000, 114, 0.5000540107323008
0.11500000, 115, 0.5000553568233995
0.11600000, 116, 0.500056445869503
0.11700000, 117, 0.5000572798549506
0.11800000, 118, 0.500057861784363
0.11900000, 119, 0.5000581956439191
0.12000000, 120, 0.500058286359501
0.12100000, 121, 0.5000581397519623
0.12200000, 122, 0.5000577624897816
0.12300000, 123, 0.5000571620393669
0.12400000, 124, 0.5000563466132804
0.12500000, 125, 0.5000553251166532
0.12600000, 126, 0.5000541070920628
0.12700000, 127, 0.500052702663142
0.12800000, 128, 0.5000511224771913
0.12900000, 129, 0.5000493776470594
0.13000000, 130, 0.5000474796925546
0.13100000, 131, 0.500045440481647
0.13200000, 132, 0.5000432721717117
0.13300000, 133, 0.5000409871510603
0.13400000, 134, 0.5000385979809975
0.13500000, 135, 0.5000361173386345
0.13600000, 136, 0.5000335579606785
0.13700000, 137, 0.50003093258841
